,No.,GaodeLng,GaodeLat,housing_price,compact,open,large_low_rise,UGS,Distance,T20200518,T20210725,T20210324,T20191002,T20190904,T20221020,T20190306,T20230809,T20211221,T20191031,T20220522,T20200610,T20210505,T20200129,T20220410,T20220628,T20220406,T20200202,T20221125,T20230412,T20220611,T20210427,T20230408,T20211125,T20190707,T20220505,T20220702,T20230804,T20190610,T20191018,T20210212,T20210613,T20230915,T20210530,T20210501,T20190815,T20220928,T20200902,T20220501,T20220530,T20220526,T20230612,T20210328,T20200324,District_id,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Dist_8
648,649,113.5385691,34.82609898,1.214989362,28.39577607,59.64127004,9.348089752,15.18784167,13.66464328,20.88305039,35.56317734,,33.75329686,28.15994263,25.71848732,,32.39819528,18.29388123,21.18968039,31.10752309,36.60140934,20.74575539,,31.4497584,38.18725586,24.51063963,15.75918848,16.6125061,10.74082438,28.970639,29.30333839,19.74530097,13.74267692,28.97177974,24.17830807,31.5000061,46.75625526,42.58660908,11.72525444,,,26.63805692,39.7925858,25.10168267,35.38691881,34.21403091,31.53200607,22.72727331,43.34145235,35.4339043,28.03428237,25.35228526,21.13058516,2,0,1,0,0,0,0,0,0
649,650,113.5410626,34.82603545,1.331972445,32.73308388,56.81071029,9.278581597,13.51446376,13.47668305,21.01805719,35.7403441,,33.29734744,28.31385642,27.02019419,,32.82543538,18.18136502,20.85612706,31.15613194,36.56379507,20.72089164,,31.52484937,38.23250504,24.03100777,16.04019606,16.23111772,10.61618004,28.98824478,29.21616963,19.54656315,13.66824437,28.99766107,24.23488064,31.91408002,46.9684121,42.7743803,11.92162971,,,26.78949979,39.46315285,24.977631,35.75050978,33.80635771,31.77075176,22.83261506,43.59629543,35.60963078,28.41848774,25.36092709,21.09093309,2,0,1,0,0,0,0,0,0
650,651,113.5292981,34.82882127,1.10502913,21.44218392,54.55245221,19.20826171,6.731153831,14.53045795,20.64253737,,,35.98750458,29.59975914,25.44032144,,32.58744915,19.78785261,23.33484645,31.66749007,40.89686366,22.13100376,,31.88082425,40.36189992,27.06363751,15.2982045,16.77975972,11.41667251,31.03833829,31.6047227,21.87608457,13.43264809,30.63117386,25.65867839,,49.65390933,45.18590487,11.24660871,,,26.02342205,42.33199239,27.41204426,36.48070725,37.42308783,33.5847239,23.82912107,46.73722202,38.12937541,27.36722469,25.42163067,21.27278448,2,0,1,0,0,0,0,0,0
651,652,113.7143039,34.72368589,1.697197982,40.98795334,51.11406863,4.18313901,15.30935353,6.040730791,22.31721999,,14.92422031,30.95760498,28.12887982,25.95226936,9.715523906,37.46732046,18.1311396,,30.67932633,35.01100616,21.1893795,,32.78317412,38.49478457,23.23273956,16.58478878,16.97482206,,26.50684879,28.84650593,19.83228601,14.09484996,28.765804,24.54075642,34.6026062,47.48910385,,13.06233206,,12.19000595,25.48386238,41.31125832,25.72025233,35.58132666,34.81000633,32.23062379,22.50988106,42.19457215,35.97410536,30.3003768,25.63790894,21.19939055,6,0,0,0,0,0,1,0,0
652,653,113.7134766,34.73206162,0.559532449,14.8460688,70.42023538,2.989698164,26.87140256,5.516602421,21.44590693,,14.76613102,32.75400696,28.40962997,27.17474305,10.00375595,35.57281828,18.33650703,,30.69684488,35.7442043,21.01488037,,33.90468877,37.92425671,23.93913097,14.91263761,16.40070064,,,29.32325592,21.60435777,12.99506821,28.67382067,24.48763065,34.27415649,47.29286194,34.72438335,12.8501314,,12.30279006,25.16250572,40.91185751,25.97742832,34.71721123,34.7308759,32.22225704,22.43808002,42.88951299,35.63199364,29.76220742,26.08572791,21.06926031,6,0,0,0,0,0,1,0,0
653,654,113.7134766,34.73206162,0.57115111,14.8460688,70.42023538,2.989698164,26.87140256,5.516602421,21.44590693,,14.76613102,32.75400696,28.40962997,27.17474305,10.00375595,35.57281828,18.33650703,,30.69684488,35.7442043,21.01488037,,33.90468877,37.92425671,23.93913097,14.91263761,16.40070064,,,29.32325592,21.60435777,12.99506821,28.67382067,24.48763065,34.27415649,47.29286194,34.72438335,12.8501314,,12.30279006,25.16250572,40.91185751,25.97742832,34.71721123,34.7308759,32.22225704,22.43808002,42.88951299,35.63199364,29.76220742,26.08572791,21.06926031,6,0,0,0,0,0,1,0,0
654,655,113.7033337,34.73311531,1.217196898,60.80252891,15.76304433,23.43442681,2.859285712,4.63757035,21.93412991,,15.21708594,33.80937156,29.94457537,26.86228615,9.757133747,35.74760539,19.20223455,,31.811688,36.45800517,22.31127292,,33.5873312,40.40554751,25.07708645,15.12088102,16.68950437,,,31.52911435,22.31494334,13.56513138,30.25506824,25.59914144,35.9940052,50.07464356,,12.68563194,,12.25524345,26.47787535,43.77249051,27.72476315,37.04715023,36.07783328,33.81750755,24.81667074,45.29153349,38.26232166,31.74056609,25.7319101,21.76250687,6,0,0,0,0,0,1,0,0
655,656,113.6997078,34.7328608,1.238010418,61.22110187,15.9528187,21.98382565,2.634414872,4.365619339,21.87938023,,15.18106041,34.38415192,29.60230535,26.1806906,9.75733419,35.66878819,19.15142547,,31.36431773,35.90863871,21.77522871,,33.45025963,40.28051256,25.1972212,15.68224887,16.86359199,,,30.97323646,22.50862323,13.58334024,30.0575527,25.33438148,35.5808236,49.89262132,,12.73063516,,12.19794186,26.60834868,43.35988137,27.06923046,37.11556121,36.2660314,33.36900806,24.50912514,44.81346776,37.7357909,31.61355011,25.55602524,21.72519636,6,0,0,0,0,0,1,0,0
656,657,113.7026946,34.73117811,1.216216099,69.15152495,13.43017324,17.41830096,1.598825765,4.696588017,21.88675518,,15.10375443,33.36046838,29.42605723,27.140008,9.602006772,35.56986968,18.96401822,,31.38308944,35.56868905,22.03313103,,33.375881,39.98790713,24.69534719,15.07953965,16.6713643,,,30.76962856,21.75418496,13.67250595,29.77405519,25.25951263,35.49605476,49.66608925,,12.69164252,,12.17574649,26.5114248,43.31342287,27.23035937,36.64901335,35.59808084,33.30864038,24.47453375,44.73018694,37.66430934,31.2628026,25.91019403,21.58837065,6,0,0,0,0,0,1,0,0
657,658,113.7134766,34.73206162,1.289698888,14.8460688,70.42023538,2.989698164,26.87140256,5.516602421,21.44590693,,14.76613102,32.75400696,28.40962997,27.17474305,10.00375595,35.57281828,18.33650703,,30.69684488,35.7442043,21.01488037,,33.90468877,37.92425671,23.93913097,14.91263761,16.40070064,,,29.32325592,21.60435777,12.99506821,28.67382067,24.48763065,34.27415649,47.29286194,34.72438335,12.8501314,,12.30279006,25.16250572,40.91185751,25.97742832,34.71721123,34.7308759,32.22225704,22.43808002,42.88951299,35.63199364,29.76220742,26.08572791,21.06926031,6,0,0,0,0,0,1,0,0
